"Step","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX"
"391","","","","","","","","","","","","","","","","","","","","","","0.15052539110183716","0.15052539110183716","0.15052539110183716","","","","","",""
"397","","","","","","","","","","","","","","","","","","","","","","0.14615345001220703","0.14191538095474243","0.15039151906967163","","","","","",""
"403","","","","","","","","","","","","","","","","","","","","","","0.15703177452087402","0.15703177452087402","0.15703177452087402","","","","","",""
"427","","","","0.2548995018005371","0.2548995018005371","0.2548995018005371","","","","","","","","","","","","","","","","","","","","","","","",""
"439","","","","","","","0.3095323443412781","0.3095323443412781","0.3095323443412781","","","","","","","","","","0.3276010751724243","0.3276010751724243","0.3276010751724243","","","","","","","","",""
"451","","","","0.3781588673591614","0.3781588673591614","0.3781588673591614","0.30443352460861206","0.30443352460861206","0.30443352460861206","","","","","","","","","","0.31435537338256836","0.29415225982666016","0.33455848693847656","","","","","","","","",""
"457","","","","0.39068716764450073","0.39068716764450073","0.39068716764450073","0.34432661533355713","0.34432661533355713","0.34432661533355713","","","","","","","","","","","","","0.16579541563987732","0.10108858346939087","0.23050224781036377","","","","","",""
"469","0.28435981273651123","0.28435981273651123","0.28435981273651123","0.3262407183647156","0.3262407183647156","0.3262407183647156","","","","","","","","","","","","","","","","","","","","","","","",""
"475","0.3464588522911072","0.3464588522911072","0.3464588522911072","0.33019596338272095","0.33019596338272095","0.33019596338272095","0.34502848982810974","0.3323090076446533","0.35774797201156616","","","","","","","","","","0.2216746211051941","0.2216746211051941","0.2216746211051941","","","","","","","","",""
"481","0.3193269670009613","0.31381767988204956","0.32483625411987305","0.30525320768356323","0.30525320768356323","0.30525320768356323","0.3280397653579712","0.3280397653579712","0.3280397653579712","","","","","","","","","","0.2771528959274292","0.2771528959274292","0.2771528959274292","","","","","","","","",""
"487","0.3271958827972412","0.3271958827972412","0.3271958827972412","","","","0.35841870307922363","0.35841870307922363","0.35841870307922363","","","","","","","","","","0.18720048666000366","0.18720048666000366","0.18720048666000366","","","","","","","0.05234646797180176","0.05234646797180176","0.05234646797180176"
"493","0.3397902250289917","0.30983853340148926","0.37686294317245483","","","","","","","","","","","","","","","","","","","","","","","","","0.10316157341003418","0.10316157341003418","0.10316157341003418"
"499","","","","0.2955341339111328","0.2955341339111328","0.2955341339111328","","","","","","","","","","","","","","","","","","","","","","","",""
"505","","","","","","","","","","","","","","","","","","","0.29022181034088135","0.29022181034088135","0.29022181034088135","","","","","","","0.07743144035339355","0.07743144035339355","0.07743144035339355"
"511","","","","","","","0.2790669798851013","0.2790669798851013","0.2790669798851013","","","","","","","","","","","","","0.18486738204956055","0.18486738204956055","0.18486738204956055","","","","","",""
"517","","","","0.3208695650100708","0.3208695650100708","0.3208695650100708","","","","","","","","","","","","","0.2702617645263672","0.2702617645263672","0.2702617645263672","","","","","","","0.077471524477005","0.049887239933013916","0.1050558090209961"
"523","0.40901482105255127","0.40901482105255127","0.40901482105255127","","","","","","","","","","","","","","","","0.19174736738204956","0.19174736738204956","0.19174736738204956","","","","","","","0.04742157459259033","0.04742157459259033","0.04742157459259033"
"529","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01617610454559326","0.01617610454559326","0.01617610454559326"
"535","","","","0.29222846031188965","0.29222846031188965","0.29222846031188965","","","","","","","","","","","","","","","","","","","","","","0.05006164312362671","0.05006164312362671","0.05006164312362671"
"547","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07785302400588989","0.07785302400588989","0.07785302400588989"
"553","0.31324225664138794","0.31324225664138794","0.31324225664138794","","","","0.3103007674217224","0.3103007674217224","0.3103007674217224","","","","","","","","","","0.2331048846244812","0.2331048846244812","0.2331048846244812","","","","","","","0.029122769832611084","0.029122769832611084","0.029122769832611084"
"571","","","","0.32015693187713623","0.32015693187713623","0.32015693187713623","","","","","","","","","","","","","","","","","","","","","","","",""
"589","","","","","","","","","","","","","","","","","","","","","","0.26359039545059204","0.26359039545059204","0.26359039545059204","","","","","",""
"607","","","","","","","0.3022500276565552","0.3022500276565552","0.3022500276565552","","","","","","","","","","","","","","","","","","","","",""
"691","","","","","","","","","","","","","","","","0.27254343032836914","0.27254343032836914","0.27254343032836914","","","","","","","","","","","",""
"733","","","","","","","","","","","","","0.32475101947784424","0.32475101947784424","0.32475101947784424","0.31705155968666077","0.3028731942176819","0.33122992515563965","","","","","","","","","","","",""
"757","","","","","","","","","","0.30904585123062134","0.30904585123062134","0.30904585123062134","","","","","","","","","","","","","","","","","",""
"763","","","","","","","","","","","","","0.3243832290172577","0.2957644462585449","0.35300201177597046","0.3362310528755188","0.3362310528755188","0.3362310528755188","","","","","","","","","","","",""
"775","","","","","","","","","","","","","0.33404040336608887","0.33404040336608887","0.33404040336608887","0.31582051515579224","0.31419599056243896","0.3174450397491455","","","","","","","","","","","",""
"793","","","","","","","","","","0.34323328733444214","0.34323328733444214","0.34323328733444214","","","","0.31046396493911743","0.31046396493911743","0.31046396493911743","","","","","","","","","","","",""
"805","","","","","","","","","","","","","","","","","","","","","","0.2925572395324707","0.2925572395324707","0.2925572395324707","","","","","",""
"811","","","","","","","","","","","","","0.320526659488678","0.320526659488678","0.320526659488678","0.33160167932510376","0.33160167932510376","0.33160167932510376","","","","","","","","","","","",""
"835","","","","","","","","","","0.31511515378952026","0.31511515378952026","0.31511515378952026","","","","","","","","","","","","","","","","","",""
"841","","","","","","","","","","0.3571169972419739","0.3571169972419739","0.3571169972419739","","","","0.29762089252471924","0.29762089252471924","0.29762089252471924","","","","","","","","","","","",""
"853","","","","","","","","","","","","","0.2896021604537964","0.2896021604537964","0.2896021604537964","","","","","","","","","","","","","","",""
"859","","","","","","","","","","0.3358317017555237","0.3358317017555237","0.3358317017555237","","","","0.31477808952331543","0.31477808952331543","0.31477808952331543","","","","","","","","","","","",""
"889","","","","","","","","","","0.28840774297714233","0.28840774297714233","0.28840774297714233","","","","","","","","","","0.185968279838562","0.185968279838562","0.185968279838562","","","","","",""
"895","","","","","","","","","","0.3384910821914673","0.3384910821914673","0.3384910821914673","0.32400840520858765","0.32400840520858765","0.32400840520858765","","","","","","","","","","","","","","",""
"919","","","","","","","","","","0.3209129869937897","0.32066237926483154","0.3211635947227478","0.32836151123046875","0.32836151123046875","0.32836151123046875","","","","","","","","","","","","","","",""
"937","","","","","","","","","","","","","0.31753385066986084","0.31753385066986084","0.31753385066986084","","","","","","","","","","","","","","",""
"961","","","","","","","","","","","","","0.3240324854850769","0.3240324854850769","0.3240324854850769","","","","","","","","","","","","","","",""
"1015","","","","","","","","","","0.29797303676605225","0.29797303676605225","0.29797303676605225","","","","","","","","","","","","","","","","","",""
"1201","","","","","","","","","","","","","","","","","","","","","","","","","0.11443143486976623","0.09760737419128418","0.13084828853607178","","",""
