"Step","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"1761","0.5985473394393921","0.5985473394393921","0.5985473394393921","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1825","0.6208057999610901","0.6208057999610901","0.6208057999610901","0.5868788361549377","0.5868788361549377","0.5868788361549377","","","","","","","0.5923755168914795","0.5923755168914795","0.5923755168914795","","","","","","","","","","","","","","",""
"1857","0.6075891057650248","0.6044413447380066","0.6138710975646973","","","","0.6125532984733582","0.6125532984733582","0.6125532984733582","0.5856004357337952","0.5856004357337952","0.5856004357337952","0.5812436938285828","0.5812436938285828","0.5812436938285828","","","","","","","","","","","","","","",""
"1889","0.6312849521636963","0.6312849521636963","0.6312849521636963","","","","0.6163119077682495","0.6163119077682495","0.6163119077682495","0.6111265420913696","0.6111265420913696","0.6111265420913696","0.6071408987045288","0.6071408987045288","0.6071408987045288","","","","","","","","","","","","","","",""
"1921","","","","0.6177284717559814","0.6177284717559814","0.6177284717559814","0.6128679513931274","0.6128679513931274","0.6128679513931274","","","","0.59130859375","0.5697612762451172","0.6128559112548828","","","","","","","","","","","","","","",""
"1953","0.6080756783485413","0.6080756783485413","0.6080756783485413","","","","","","","0.625163197517395","0.625163197517395","0.625163197517395","0.5985163450241089","0.5985163450241089","0.5985163450241089","","","","","","","","","","","","","","",""
"1985","0.6086970567703247","0.6086970567703247","0.6086970567703247","0.6070080697536469","0.6002398133277893","0.6137763261795044","","","","","","","0.6167769134044647","0.6073180437088013","0.6262357831001282","","","","","","","","","","","","","","",""
"2017","","","","0.6120655834674835","0.5944105982780457","0.6297205686569214","0.5992125272750854","0.5903719663619995","0.6080530881881714","0.6138256986935934","0.6073917746543884","0.6242493391036987","","","","","","","","","","","","","","","","","",""
"2049","0.5936420261859894","0.5865050554275513","0.6007789969444275","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2081","","","","","","","0.6190105080604553","0.6115834712982178","0.6264375448226929","0.6253269910812378","0.6250190734863281","0.6256349086761475","","","","","","","","","","","","","0.3106532692909241","0.3106532692909241","0.3106532692909241","","",""
