"Step","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"584","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.004481196403503418","-0.004481196403503418","-0.004481196403503418"
"595","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.005324125289916992","-0.005651593208312988","-0.004996657371520996"
"628","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0046999454498291016","-0.0046999454498291016","-0.0046999454498291016"
"683","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.008546590805053711","-0.008546590805053711","-0.008546590805053711"
"694","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.005587577819824219","-0.005587577819824219","-0.005587577819824219"
"705","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.006805539131164551","-0.006805539131164551","-0.006805539131164551"
"716","","","","","","","","","","0.46043723821640015","0.46043723821640015","0.46043723821640015","","","","","","","","","","","","","","","","-0.006037354469299316","-0.006037354469299316","-0.006037354469299316"
"727","0.5449660420417786","0.5449660420417786","0.5449660420417786","","","","","","","","","","0.43133997917175293","0.43133997917175293","0.43133997917175293","","","","","","","","","","","","","-0.005127549171447754","-0.005127549171447754","-0.005127549171447754"
"738","","","","","","","","","","","","","0.5008903741836548","0.5008903741836548","0.5008903741836548","","","","","","","","","","","","","","",""
"749","","","","0.5327292680740356","0.5327292680740356","0.5327292680740356","0.5124049186706543","0.5124049186706543","0.5124049186706543","","","","","","","","","","","","","","","","","","","-0.006781578063964844","-0.006781578063964844","-0.006781578063964844"
"760","","","","","","","","","","","","","0.4785940647125244","0.4785940647125244","0.4785940647125244","","","","","","","","","","","","","","",""
