"Name","State","Tags","group","seed","train_fraction","test_total_r2"
"finetuned_ridgeslowverybig_with_3augmentations_42","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","42","0.5","0.5654728412628174"
"finetuned_ridgeslowverybig_with_3augmentations_42","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","42","0.25","0.4768449664115906"
"finetuned_ridgeslowverybig_with_3augmentations_42","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","42","0.1","0.2219151258468628"
"finetuned_ridgeslowverybig_with_3augmentations_42","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","42","0.05","0.21246308088302612"
"finetuned_ridgeslowverybig_with_3augmentations_43","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","43","0.5","0.5676020383834839"
"finetuned_ridgeslowverybig_with_3augmentations_43","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","43","0.1","0.2446532845497131"
"finetuned_ridgeslowverybig_with_3augmentations_43","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","43","0.25","0.42764705419540405"
"finetuned_ridgeslowverybig_with_3augmentations_43","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","43","0.05","0.2507871985435486"
"finetuned_ridgeslowverybig_with_3augmentations_44","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","44","0.5","0.556958794593811"
"finetuned_ridgeslowverybig_with_3augmentations_44","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","44","0.1","0.31444793939590454"
"finetuned_ridgeslowverybig_with_3augmentations_44","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","44","0.05","0.2054281234741211"
"finetuned_ridgeslowverybig_with_3augmentations_44","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","44","0.25","0.5063942670822144"
"finetuned_ridgeslowverybig_with_3augmentations_45","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","45","0.05","0.20738911628723145"
"finetuned_ridgeslowverybig_with_3augmentations_45","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","45","0.5","0.5685003995895386"
"finetuned_ridgeslowverybig_with_3augmentations_45","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","45","0.25","0.476432740688324"
"finetuned_ridgeslowverybig_with_3augmentations_45","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","45","0.1","0.1931324601173401"
"finetuned_ridgeslowverybig_with_3augmentations_46","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","46","0.5","0.5766745805740356"
"finetuned_ridgeslowverybig_with_3augmentations_46","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","46","0.05","0.17131537199020386"
"finetuned_ridgeslowverybig_with_3augmentations_46","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","46","0.1","0.3023573160171509"
"finetuned_ridgeslowverybig_with_3augmentations_46","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","46","0.25","0.4583255052566528"
"finetuned_ridgeslowverybig_with_3augmentations_47","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","47","0.05","0.24980396032333377"
"finetuned_ridgeslowverybig_with_3augmentations_47","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","47","0.5","0.5776591300964355"
"finetuned_ridgeslowverybig_with_3augmentations_47","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","47","0.25","0.5013460516929626"
"finetuned_ridgeslowverybig_with_3augmentations_47","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","47","0.1","0.294310986995697"
"finetuned_ridgeslowverybig_with_3augmentations_48","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","48","0.1","0.27252280712127686"
"finetuned_ridgeslowverybig_with_3augmentations_48","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","48","0.25","0.4856692552566528"
"finetuned_ridgeslowverybig_with_3augmentations_48","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","48","0.5","0.5593950748443604"
"finetuned_ridgeslowverybig_with_3augmentations_48","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","48","0.05","0.19884955883026123"
"finetuned_ridgeslowverybig_with_3augmentations_49","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","49","0.05","0.18808448314666748"
"finetuned_ridgeslowverybig_with_3augmentations_49","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","49","0.5","0.5303918719291687"
"finetuned_ridgeslowverybig_with_3augmentations_49","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","49","0.25","0.43229150772094727"
"finetuned_ridgeslowverybig_with_3augmentations_49","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","49","0.1","0.2476290464401245"
"finetuned_ridgeslowverybig_with_3augmentations_50","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","50","0.1","0.3415176272392273"
"finetuned_ridgeslowverybig_with_3augmentations_50","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","50","0.5","0.5788789987564087"
"finetuned_ridgeslowverybig_with_3augmentations_50","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","50","0.25","0.4596647620201111"
"finetuned_ridgeslowverybig_with_3augmentations_50","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","50","0.05","0.23160624504089355"
"finetuned_ridgeslowverybig_with_3augmentations_51","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","51","0.1","0.2509700655937195"
"finetuned_ridgeslowverybig_with_3augmentations_51","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","51","0.25","0.47640401124954224"
"finetuned_ridgeslowverybig_with_3augmentations_51","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","51","0.5","0.5554876327514648"
"finetuned_ridgeslowverybig_with_3augmentations_51","finished","complete","finetuned_ridgeslowverybig_with_3augmentations","51","0.05","0.16619157791137695"
"frozen_ridgeslowverybig_with_3augmentations_42","finished","complete","frozen_ridgeslowverybig_with_3augmentations","42","0.5","0.4221004247665405"
"frozen_ridgeslowverybig_with_3augmentations_42","finished","complete","frozen_ridgeslowverybig_with_3augmentations","42","0.1","0.2893427014350891"
"frozen_ridgeslowverybig_with_3augmentations_42","finished","complete","frozen_ridgeslowverybig_with_3augmentations","42","0.05","0.247195303440094"
"frozen_ridgeslowverybig_with_3augmentations_42","finished","complete","frozen_ridgeslowverybig_with_3augmentations","42","0.25","0.3743593096733093"
"frozen_ridgeslowverybig_with_3augmentations_43","finished","complete","frozen_ridgeslowverybig_with_3augmentations","43","0.5","0.4293687343597412"
"frozen_ridgeslowverybig_with_3augmentations_43","finished","complete","frozen_ridgeslowverybig_with_3augmentations","43","0.05","0.23874878883361816"
"frozen_ridgeslowverybig_with_3augmentations_43","finished","complete","frozen_ridgeslowverybig_with_3augmentations","43","0.1","0.21899402141571045"
"frozen_ridgeslowverybig_with_3augmentations_43","finished","complete","frozen_ridgeslowverybig_with_3augmentations","43","0.25","0.3703165054321289"
"frozen_ridgeslowverybig_with_3augmentations_44","finished","complete","frozen_ridgeslowverybig_with_3augmentations","44","0.5","0.3911877870559693"
"frozen_ridgeslowverybig_with_3augmentations_44","finished","complete","frozen_ridgeslowverybig_with_3augmentations","44","0.1","0.3108988404273987"
"frozen_ridgeslowverybig_with_3augmentations_44","finished","complete","frozen_ridgeslowverybig_with_3augmentations","44","0.05","0.2512417435646057"
"frozen_ridgeslowverybig_with_3augmentations_44","finished","complete","frozen_ridgeslowverybig_with_3augmentations","44","0.25","0.3754620552062988"
"frozen_ridgeslowverybig_with_3augmentations_45","finished","complete","frozen_ridgeslowverybig_with_3augmentations","45","0.25","0.3708654046058655"
"frozen_ridgeslowverybig_with_3augmentations_45","finished","complete","frozen_ridgeslowverybig_with_3augmentations","45","0.1","0.2804532051086426"
"frozen_ridgeslowverybig_with_3augmentations_45","finished","complete","frozen_ridgeslowverybig_with_3augmentations","45","0.5","0.44265151023864746"
"frozen_ridgeslowverybig_with_3augmentations_45","finished","complete","frozen_ridgeslowverybig_with_3augmentations","45","0.05","0.26549196243286133"
"frozen_ridgeslowverybig_with_3augmentations_46","finished","complete","frozen_ridgeslowverybig_with_3augmentations","46","0.5","0.4215615391731262"
"frozen_ridgeslowverybig_with_3augmentations_46","finished","complete","frozen_ridgeslowverybig_with_3augmentations","46","0.1","0.29122382402420044"
"frozen_ridgeslowverybig_with_3augmentations_46","finished","complete","frozen_ridgeslowverybig_with_3augmentations","46","0.25","0.37686169147491455"
"frozen_ridgeslowverybig_with_3augmentations_46","finished","complete","frozen_ridgeslowverybig_with_3augmentations","46","0.05","0.1626531481742859"
"frozen_ridgeslowverybig_with_3augmentations_47","finished","complete","frozen_ridgeslowverybig_with_3augmentations","47","0.1","0.31699270009994507"
"frozen_ridgeslowverybig_with_3augmentations_47","finished","complete","frozen_ridgeslowverybig_with_3augmentations","47","0.25","0.4094642400741577"
"frozen_ridgeslowverybig_with_3augmentations_47","finished","complete","frozen_ridgeslowverybig_with_3augmentations","47","0.05","0.2879665493965149"
"frozen_ridgeslowverybig_with_3augmentations_47","finished","complete","frozen_ridgeslowverybig_with_3augmentations","47","0.5","0.4674092531204224"
"frozen_ridgeslowverybig_with_3augmentations_48","finished","complete","frozen_ridgeslowverybig_with_3augmentations","48","0.05","0.25980210304260254"
"frozen_ridgeslowverybig_with_3augmentations_48","finished","complete","frozen_ridgeslowverybig_with_3augmentations","48","0.1","0.2782399654388428"
"frozen_ridgeslowverybig_with_3augmentations_48","finished","complete","frozen_ridgeslowverybig_with_3augmentations","48","0.25","0.3609798550605774"
"frozen_ridgeslowverybig_with_3augmentations_48","finished","complete","frozen_ridgeslowverybig_with_3augmentations","48","0.5","0.38761085271835327"
"frozen_ridgeslowverybig_with_3augmentations_49","finished","complete","frozen_ridgeslowverybig_with_3augmentations","49","0.05","0.1880740523338318"
"frozen_ridgeslowverybig_with_3augmentations_49","finished","complete","frozen_ridgeslowverybig_with_3augmentations","49","0.1","0.21908390522003177"
"frozen_ridgeslowverybig_with_3augmentations_49","finished","complete","frozen_ridgeslowverybig_with_3augmentations","49","0.25","0.3522723913192749"
