 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 1.000+-0.000, 0.367+-0.038, 0.357+-0.039, 0.557,  0.170 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.987+-0.018, 0.408+-0.039, 0.407+-0.041, 0.611,  0.189 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.887+-0.105, 0.259+-0.016, 0.251+-0.018, 0.347,  0.149 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.167+-0.000, 0.079+-0.004, 0.079+-0.003, 0.092,  0.067 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.167+-0.000, 0.079+-0.004, 0.079+-0.003, 0.092,  0.067 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.998+-0.004, 0.494+-0.024, 0.482+-0.019, 0.596,  0.413 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 1.000+-0.000, 0.551+-0.024, 0.542+-0.023, 0.631,  0.399 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 1.000+-0.000, 0.330+-0.017, 0.323+-0.018, 0.432,  0.261 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.853+-0.027, 0.255+-0.019, 0.258+-0.015, 0.313,  0.182 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.842+-0.029, 0.207+-0.013, 0.213+-0.012, 0.265,  0.144 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.923+-0.048, 0.541+-0.017, 0.529+-0.016, 0.630,  0.434 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.870+-0.053, 0.595+-0.014, 0.585+-0.014, 0.655,  0.514 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.990+-0.014, 0.394+-0.011, 0.382+-0.015, 0.463,  0.307 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.830+-0.023, 0.302+-0.019, 0.304+-0.016, 0.357,  0.171 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.822+-0.024, 0.245+-0.017, 0.246+-0.014, 0.307,  0.178 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.946+-0.037, 0.568+-0.010, 0.553+-0.014, 0.628,  0.477 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.832+-0.035, 0.641+-0.009, 0.626+-0.011, 0.668,  0.556 
