 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.954+-0.070, 0.427+-0.045, 0.411+-0.046, 0.689,  0.230 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.989+-0.022, 0.526+-0.038, 0.518+-0.040, 0.676,  0.311 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.937+-0.086, 0.293+-0.019, 0.287+-0.019, 0.371,  0.179 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.143+-0.000, 0.127+-0.005, 0.130+-0.003, 0.142,  0.112 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.143+-0.000, 0.127+-0.005, 0.130+-0.003, 0.142,  0.112 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 1.000+-0.000, 0.589+-0.034, 0.579+-0.032, 0.703,  0.406 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 1.000+-0.000, 0.672+-0.026, 0.663+-0.027, 0.775,  0.526 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 1.000+-0.000, 0.438+-0.026, 0.437+-0.023, 0.594,  0.317 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.992+-0.007, 0.341+-0.021, 0.342+-0.018, 0.455,  0.242 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.989+-0.008, 0.233+-0.015, 0.236+-0.013, 0.318,  0.143 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.998+-0.003, 0.677+-0.017, 0.656+-0.017, 0.737,  0.556 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.980+-0.021, 0.761+-0.010, 0.743+-0.011, 0.791,  0.663 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 1.000+-0.000, 0.544+-0.013, 0.535+-0.014, 0.592,  0.473 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.989+-0.007, 0.466+-0.017, 0.454+-0.019, 0.517,  0.358 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.988+-0.007, 0.311+-0.015, 0.315+-0.016, 0.395,  0.259 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.997+-0.003, 0.679+-0.012, 0.673+-0.014, 0.743,  0.614 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.973+-0.020, 0.762+-0.008, 0.750+-0.009, 0.788,  0.713 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.998+-0.004, 0.588+-0.011, 0.581+-0.015, 0.648,  0.518 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.980+-0.007, 0.503+-0.016, 0.506+-0.016, 0.567,  0.411 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.976+-0.008, 0.373+-0.011, 0.369+-0.013, 0.413,  0.305 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 0.977+-0.025, 0.705+-0.010, 0.688+-0.009, 0.730,  0.644 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 0.979+-0.016, 0.777+-0.006, 0.758+-0.008, 0.799,  0.727 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 0.996+-0.009, 0.620+-0.010, 0.602+-0.009, 0.638,  0.565 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 0.981+-0.004, 0.548+-0.012, 0.548+-0.012, 0.628,  0.497 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 0.979+-0.005, 0.411+-0.012, 0.399+-0.009, 0.431,  0.360 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
17, 0.993+-0.004, 0.723+-0.012, 0.709+-0.012, 0.750,  0.631 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
17, 0.927+-0.028, 0.793+-0.009, 0.778+-0.008, 0.818,  0.735 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
