 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.973+-0.036, 0.521+-0.036, 0.509+-0.034, 0.684,  0.370 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.973+-0.036, 0.469+-0.022, 0.453+-0.022, 0.549,  0.335 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.987+-0.026, 0.456+-0.019, 0.448+-0.020, 0.564,  0.342 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
1, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.982+-0.021, 0.613+-0.025, 0.602+-0.028, 0.687,  0.403 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.996+-0.009, 0.554+-0.035, 0.536+-0.035, 0.661,  0.309 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 1.000+-0.000, 0.546+-0.024, 0.537+-0.026, 0.640,  0.408 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
3, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.977+-0.023, 0.677+-0.015, 0.661+-0.017, 0.718,  0.573 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.994+-0.008, 0.640+-0.018, 0.628+-0.021, 0.705,  0.520 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.994+-0.011, 0.620+-0.016, 0.609+-0.018, 0.686,  0.508 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
7, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.965+-0.021, 0.689+-0.016, 0.669+-0.017, 0.775,  0.582 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.999+-0.003, 0.675+-0.014, 0.664+-0.014, 0.721,  0.584 
 Embedding False, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.999+-0.003, 0.648+-0.011, 0.638+-0.012, 0.703,  0.555 
 Embedding False, Augmentations False, graph features True, adjacency
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding False, Augmentations False, graph features True, laplacian
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
10, 0.000+-0.000, 0.000+-0.000, 0.000+-0.000, 0.000,  0.000 
 Embedding True, Augmentations True, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 0.976+-0.019, 0.708+-0.010, 0.687+-0.011, 0.753,  0.648 
 Embedding True, Augmentations False, graph features False, 
Num per class, avg train acc, val acc, test acc, best test acc, worst test acc 
13, 1.000+-0.000, 0.678+-0.015, 0.667+-0.015, 0.752,  0.574 
 Embedding False, Augmentations False, graph features False, 
